animal_name,sex,genotype,inh,Duration_sec,Section,Frequency
C9ORF72-GR400-MAT-B6J/1.3a,f,C9ORF72-GR400-B6J:WT,MAT,134.4,closed,23
C9ORF72-GR400-MAT-B6J/2.2c,f,C9ORF72-GR400-B6J:WT,MAT,191.04,closed,16
C9ORF72-GR400-MAT-B6J/3.1c,f,C9ORF72-GR400-B6J:WT,MAT,242.4,closed,16
C9ORF72-GR400-MAT-B6J/4.1b,f,C9ORF72-GR400-B6J:WT,MAT,235.2,closed,18
C9ORF72-GR400-MAT-B6J/7.1e,f,C9ORF72-GR400-B6J:WT,MAT,197.6,closed,12
C9ORF72-GR400-MAT-B6J/7.1g,f,C9ORF72-GR400-B6J:WT,MAT,231.76,closed,14
C9ORF72-GR400-PAT-B6J/3.1c,f,C9ORF72-GR400-B6J:WT,PAT,245.28,closed,14
C9ORF72-GR400-PAT-B6J/3.1e,f,C9ORF72-GR400-B6J:WT,PAT,179.36,closed,17
C9ORF72-GR400-PAT-B6J/4.1a,f,C9ORF72-GR400-B6J:WT,PAT,182.64,closed,13
C9ORF72-GR400-PAT-B6J/6.1a,f,C9ORF72-GR400-B6J:WT,PAT,183.12,closed,12
C9ORF72-GR400-PAT-B6J/6.2a,f,C9ORF72-GR400-B6J:WT,PAT,207.76,closed,9
C9ORF72-GR400-PAT-B6J/6.2b,f,C9ORF72-GR400-B6J:WT,PAT,257.12,closed,8
C9ORF72-GR400-MAT-B6J/1.3i,m,C9ORF72-GR400-B6J:WT,MAT,155.92,closed,19
C9ORF72-GR400-MAT-B6J/2.2g,m,C9ORF72-GR400-B6J:WT,MAT,204.48,closed,14
C9ORF72-GR400-MAT-B6J/2.2i,m,C9ORF72-GR400-B6J:WT,MAT,164.32,closed,18
C9ORF72-GR400-MAT-B6J/4.2a,m,C9ORF72-GR400-B6J:WT,MAT,244.64,closed,18
C9ORF72-GR400-MAT-B6J/4.2g,m,C9ORF72-GR400-B6J:WT,MAT,97.36,closed,8
C9ORF72-GR400-MAT-B6J/6.2c,m,C9ORF72-GR400-B6J:WT,MAT,238.16,closed,8
C9ORF72-GR400-PAT-B6J/3.2d,m,C9ORF72-GR400-B6J:WT,PAT,173.04,closed,20
C9ORF72-GR400-PAT-B6J/5.1c,m,C9ORF72-GR400-B6J:WT,PAT,147.28,closed,9
C9ORF72-GR400-PAT-B6J/5.1d,m,C9ORF72-GR400-B6J:WT,PAT,178.08,closed,16
C9ORF72-GR400-PAT-B6J/7.2c,m,C9ORF72-GR400-B6J:WT,PAT,251.04,closed,9
C9ORF72-GR400-PAT-B6J/7.2e,m,C9ORF72-GR400-B6J:WT,PAT,193.04,closed,13
C9ORF72-GR400-PAT-B6J/7.2g,m,C9ORF72-GR400-B6J:WT,PAT,181.68,closed,12
C9ORF72-GR400-MAT-B6J/1.3c,f,C9ORF72-GR400-B6J:Het,MAT,195.36,closed,19
C9ORF72-GR400-MAT-B6J/2.2d,f,C9ORF72-GR400-B6J:Het,MAT,224.24,closed,17
C9ORF72-GR400-MAT-B6J/3.1f,f,C9ORF72-GR400-B6J:Het,MAT,243.68,closed,18
C9ORF72-GR400-MAT-B6J/4.1g,f,C9ORF72-GR400-B6J:Het,MAT,231.04,closed,15
C9ORF72-GR400-MAT-B6J/5.1e,f,C9ORF72-GR400-B6J:Het,MAT,220.4,closed,16
C9ORF72-GR400-MAT-B6J/7.1d,f,C9ORF72-GR400-B6J:Het,MAT,220.72,closed,12
C9ORF72-GR400-PAT-B6J/3.1d,f,C9ORF72-GR400-B6J:Het,PAT,183.6,closed,20
C9ORF72-GR400-PAT-B6J/3.2b,f,C9ORF72-GR400-B6J:Het,PAT,160.08,closed,14
C9ORF72-GR400-PAT-B6J/4.2a,f,C9ORF72-GR400-B6J:Het,PAT,211.6,closed,17
C9ORF72-GR400-PAT-B6J/6.2c,f,C9ORF72-GR400-B6J:Het,PAT,217.44,closed,15
C9ORF72-GR400-PAT-B6J/7.2b,f,C9ORF72-GR400-B6J:Het,PAT,197.28,closed,13
C9ORF72-GR400-PAT-B6J/8.1b,f,C9ORF72-GR400-B6J:Het,PAT,166,closed,12
C9ORF72-GR400-MAT-B6J/1.3k,m,C9ORF72-GR400-B6J:Het,MAT,208.8,closed,16
C9ORF72-GR400-MAT-B6J/1.4e,m,C9ORF72-GR400-B6J:Het,MAT,204.72,closed,22
C9ORF72-GR400-MAT-B6J/3.1h,m,C9ORF72-GR400-B6J:Het,MAT,194.96,closed,20
C9ORF72-GR400-MAT-B6J/4.2f,m,C9ORF72-GR400-B6J:Het,MAT,202.24,closed,18
C9ORF72-GR400-MAT-B6J/6.1c,m,C9ORF72-GR400-B6J:Het,MAT,245.44,closed,12
C9ORF72-GR400-MAT-B6J/6.2f,m,C9ORF72-GR400-B6J:Het,MAT,175.04,closed,23
C9ORF72-GR400-PAT-B6J/3.2e,m,C9ORF72-GR400-B6J:Het,PAT,209.92,closed,13
C9ORF72-GR400-PAT-B6J/3.2h,m,C9ORF72-GR400-B6J:Het,PAT,174.16,closed,19
C9ORF72-GR400-PAT-B6J/4.1c,m,C9ORF72-GR400-B6J:Het,PAT,203.52,closed,22
C9ORF72-GR400-PAT-B6J/6.1f,m,C9ORF72-GR400-B6J:Het,PAT,245.36,closed,11
C9ORF72-GR400-PAT-B6J/7.2h,m,C9ORF72-GR400-B6J:Het,PAT,203.44,closed,11
C9ORF72-GR400-PAT-B6J/8.1h,m,C9ORF72-GR400-B6J:Het,PAT,189.28,closed,16
C9ORF72-GR400-MAT-B6J/1.3a,f,C9ORF72-GR400-B6J:WT,MAT,109.36,open,12
C9ORF72-GR400-MAT-B6J/2.2c,f,C9ORF72-GR400-B6J:WT,MAT,12.24,open,1
C9ORF72-GR400-MAT-B6J/3.1c,f,C9ORF72-GR400-B6J:WT,MAT,20.96,open,5
C9ORF72-GR400-MAT-B6J/4.1b,f,C9ORF72-GR400-B6J:WT,MAT,27.92,open,8
C9ORF72-GR400-MAT-B6J/7.1e,f,C9ORF72-GR400-B6J:WT,MAT,37.52,open,4
C9ORF72-GR400-MAT-B6J/7.1g,f,C9ORF72-GR400-B6J:WT,MAT,6.48,open,2
C9ORF72-GR400-PAT-B6J/3.1c,f,C9ORF72-GR400-B6J:WT,PAT,1.84,open,2
C9ORF72-GR400-PAT-B6J/3.1e,f,C9ORF72-GR400-B6J:WT,PAT,52.96,open,10
C9ORF72-GR400-PAT-B6J/4.1a,f,C9ORF72-GR400-B6J:WT,PAT,41.6,open,7
C9ORF72-GR400-PAT-B6J/6.1a,f,C9ORF72-GR400-B6J:WT,PAT,25.2,open,3
C9ORF72-GR400-PAT-B6J/6.2a,f,C9ORF72-GR400-B6J:WT,PAT,28.48,open,4
C9ORF72-GR400-PAT-B6J/6.2b,f,C9ORF72-GR400-B6J:WT,PAT,0,open,0
C9ORF72-GR400-MAT-B6J/1.3i,m,C9ORF72-GR400-B6J:WT,MAT,39.36,open,4
C9ORF72-GR400-MAT-B6J/2.2g,m,C9ORF72-GR400-B6J:WT,MAT,18.24,open,3
C9ORF72-GR400-MAT-B6J/2.2i,m,C9ORF72-GR400-B6J:WT,MAT,48.8,open,6
C9ORF72-GR400-MAT-B6J/4.2a,m,C9ORF72-GR400-B6J:WT,MAT,15.04,open,2
C9ORF72-GR400-MAT-B6J/4.2g,m,C9ORF72-GR400-B6J:WT,MAT,118.72,open,13
C9ORF72-GR400-MAT-B6J/6.2c,m,C9ORF72-GR400-B6J:WT,MAT,9.6,open,2
C9ORF72-GR400-PAT-B6J/3.2d,m,C9ORF72-GR400-B6J:WT,PAT,38,open,6
C9ORF72-GR400-PAT-B6J/5.1c,m,C9ORF72-GR400-B6J:WT,PAT,26.48,open,4
C9ORF72-GR400-PAT-B6J/5.1d,m,C9ORF72-GR400-B6J:WT,PAT,52.32,open,8
C9ORF72-GR400-PAT-B6J/7.2c,m,C9ORF72-GR400-B6J:WT,PAT,0.32,open,1
C9ORF72-GR400-PAT-B6J/7.2e,m,C9ORF72-GR400-B6J:WT,PAT,34.96,open,5
C9ORF72-GR400-PAT-B6J/7.2g,m,C9ORF72-GR400-B6J:WT,PAT,42.64,open,8
C9ORF72-GR400-MAT-B6J/1.3c,f,C9ORF72-GR400-B6J:Het,MAT,0,open,0
C9ORF72-GR400-MAT-B6J/2.2d,f,C9ORF72-GR400-B6J:Het,MAT,0,open,0
C9ORF72-GR400-MAT-B6J/3.1f,f,C9ORF72-GR400-B6J:Het,MAT,0,open,0
C9ORF72-GR400-MAT-B6J/4.1g,f,C9ORF72-GR400-B6J:Het,MAT,14,open,2
C9ORF72-GR400-MAT-B6J/5.1e,f,C9ORF72-GR400-B6J:Het,MAT,22.48,open,4
C9ORF72-GR400-MAT-B6J/7.1d,f,C9ORF72-GR400-B6J:Het,MAT,20.96,open,3
C9ORF72-GR400-PAT-B6J/3.1d,f,C9ORF72-GR400-B6J:Het,PAT,10.24,open,3
C9ORF72-GR400-PAT-B6J/3.2b,f,C9ORF72-GR400-B6J:Het,PAT,9.2,open,3
C9ORF72-GR400-PAT-B6J/4.2a,f,C9ORF72-GR400-B6J:Het,PAT,19.52,open,4
C9ORF72-GR400-PAT-B6J/6.2c,f,C9ORF72-GR400-B6J:Het,PAT,16.4,open,3
C9ORF72-GR400-PAT-B6J/7.2b,f,C9ORF72-GR400-B6J:Het,PAT,0,open,0
C9ORF72-GR400-PAT-B6J/8.1b,f,C9ORF72-GR400-B6J:Het,PAT,43.28,open,3
C9ORF72-GR400-MAT-B6J/1.3k,m,C9ORF72-GR400-B6J:Het,MAT,5.28,open,2
C9ORF72-GR400-MAT-B6J/1.4e,m,C9ORF72-GR400-B6J:Het,MAT,30.08,open,6
C9ORF72-GR400-MAT-B6J/3.1h,m,C9ORF72-GR400-B6J:Het,MAT,31.52,open,5
C9ORF72-GR400-MAT-B6J/4.2f,m,C9ORF72-GR400-B6J:Het,MAT,31.76,open,6
C9ORF72-GR400-MAT-B6J/6.1c,m,C9ORF72-GR400-B6J:Het,MAT,19.6,open,3
C9ORF72-GR400-MAT-B6J/6.2f,m,C9ORF72-GR400-B6J:Het,MAT,41.36,open,6
C9ORF72-GR400-PAT-B6J/3.2e,m,C9ORF72-GR400-B6J:Het,PAT,21.92,open,2
C9ORF72-GR400-PAT-B6J/3.2h,m,C9ORF72-GR400-B6J:Het,PAT,49.92,open,6
C9ORF72-GR400-PAT-B6J/4.1c,m,C9ORF72-GR400-B6J:Het,PAT,13.12,open,4
C9ORF72-GR400-PAT-B6J/6.1f,m,C9ORF72-GR400-B6J:Het,PAT,16.56,open,2
C9ORF72-GR400-PAT-B6J/7.2h,m,C9ORF72-GR400-B6J:Het,PAT,45.36,open,7
C9ORF72-GR400-PAT-B6J/8.1h,m,C9ORF72-GR400-B6J:Het,PAT,30.16,open,8
C9ORF72-GR400-MAT-B6J/1.3a,f,C9ORF72-GR400-B6J:WT,MAT,56.24,centre,32
C9ORF72-GR400-MAT-B6J/2.2c,f,C9ORF72-GR400-B6J:WT,MAT,96.72,centre,17
C9ORF72-GR400-MAT-B6J/3.1c,f,C9ORF72-GR400-B6J:WT,MAT,36.64,centre,18
C9ORF72-GR400-MAT-B6J/4.1b,f,C9ORF72-GR400-B6J:WT,MAT,36.88,centre,24
C9ORF72-GR400-MAT-B6J/7.1e,f,C9ORF72-GR400-B6J:WT,MAT,64.88,centre,17
C9ORF72-GR400-MAT-B6J/7.1g,f,C9ORF72-GR400-B6J:WT,MAT,61.76,centre,16
C9ORF72-GR400-PAT-B6J/3.1c,f,C9ORF72-GR400-B6J:WT,PAT,52.88,centre,16
C9ORF72-GR400-PAT-B6J/3.1e,f,C9ORF72-GR400-B6J:WT,PAT,67.68,centre,25
C9ORF72-GR400-PAT-B6J/4.1a,f,C9ORF72-GR400-B6J:WT,PAT,75.76,centre,18
C9ORF72-GR400-PAT-B6J/6.1a,f,C9ORF72-GR400-B6J:WT,PAT,91.68,centre,15
C9ORF72-GR400-PAT-B6J/6.2a,f,C9ORF72-GR400-B6J:WT,PAT,63.76,centre,12
C9ORF72-GR400-PAT-B6J/6.2b,f,C9ORF72-GR400-B6J:WT,PAT,42.88,centre,8
C9ORF72-GR400-MAT-B6J/1.3i,m,C9ORF72-GR400-B6J:WT,MAT,104.72,centre,20
C9ORF72-GR400-MAT-B6J/2.2g,m,C9ORF72-GR400-B6J:WT,MAT,77.28,centre,17
C9ORF72-GR400-MAT-B6J/2.2i,m,C9ORF72-GR400-B6J:WT,MAT,86.88,centre,22
C9ORF72-GR400-MAT-B6J/4.2a,m,C9ORF72-GR400-B6J:WT,MAT,40.32,centre,20
