animal_name,genotype,sex,inh,smell,time
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F1,25.6
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F2,11.6
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,F3,7.1
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N1,28.2
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N2,21.5
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,N3,24.1
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W1,24.3
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W2,21.1
C9ORF72-GR400-MAT-B6J/1.3a,C9ORF72-GR400-B6J:WT,f,C9ORF72-GR400-MAT-B6J,W3,1.4
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F1,
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F2,
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,F3,
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N1,
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N2,
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,N3,
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W1,
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W2,
C9ORF72-GR400-MAT-B6J/1.3c,C9ORF72-GR400-B6J:Het,f,C9ORF72-GR400-MAT-B6J,W3,
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F1,
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F2,
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,F3,
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N1,41.8
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N2,15.1
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,N3,6.2
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W1,17
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W2,7.6
C9ORF72-GR400-MAT-B6J/1.3i,C9ORF72-GR400-B6J:WT,m,C9ORF72-GR400-MAT-B6J,W3,6.5
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F1,31.1
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F2,0
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F3,12
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N1,43.9
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N2,0
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N3,47.1
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W1,23.4
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W2,0
C9ORF72-GR400-MAT-B6J/1.3k,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W3,0
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F1,35.4
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F2,27.6
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,F3,5.6
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N1,90.9
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N2,39.2
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,N3,11.1
C9ORF72-GR400-MAT-B6J/1.4e,C9ORF72-GR400-B6J:Het,m,C9ORF72-GR400-MAT-B6J,W1,32.2
