animal_name,genotype,sex,smell,time
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N1,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N2,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,N3,
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W1,19.4
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W2,11.8
TDP43-Q331K-B6J-IC/1.1a,TDP-43_Q331K:Hom,f,W3,0
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N1,31
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N2,24.7
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,N3,0
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W1,33.5
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W2,16.1
TDP43-Q331K-B6J-IC/1.1b,TDP-43_Q331K:Hom,f,W3,9.5
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F1,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F2,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,F3,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N1,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N2,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,N3,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,W1,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,W2,
TDP43-Q331K-B6J-IC/1.1c,TDP-43_Q331K:Hom,f,W3,
