stock,animal_name,animal_id,batch,birth date,sex,genotype,sex gen,date_of_experiment,experimenter,age weeks,parameter,data
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-10-06,nan,4,Weight,10.37
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-10-11,nan,4,Weight,14.68
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-11-01,nan,8,Weight,19.62
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-11-09,nan,8,Weight,19.71
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-11-15,nan,9,Weight,20.78
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-11-23,nan,10,Weight,21.58
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-12-10,nan,13,Weight,23.7
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-12-23,nan,16,Weight,22.56
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2021-12-31,nan,16,Weight,23.88
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-01-28,nan,20,Weight,22.72
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-02-10,nan,22,Weight,23.09
