animal_name,sex,genotype,fatmass,mean_experimental_age,freewater,leanmass,totalwater
TDP43-Q331K-B6J-IC/1.2e,f,TDP-43_Q331K:WT,2.22,10,0.01,18.98,15.18
TDP43-Q331K-B6J-IC/1.2e,f,TDP-43_Q331K:WT,3.47,20,0.1,19.64,15.79
TDP43-Q331K-B6J-IC/1.2e,f,TDP-43_Q331K:WT,10.53,48,0.07,22.16,17.9
TDP43-Q331K-B6J-IC/1.2e,f,TDP-43_Q331K:WT,8.76,64,0.18,22.39,18.61
TDP43-Q331K-B6J-IC/1.2e,f,TDP-43_Q331K:WT,7.5,72,0.36,22.8,18.88
TDP43-Q331K-B6J-IC/2.1b,f,TDP-43_Q331K:WT,2.2,10,0.05,18.48,14.92
TDP43-Q331K-B6J-IC/2.1b,f,TDP-43_Q331K:WT,3.72,20,0,20.19,16.42
TDP43-Q331K-B6J-IC/2.1b,f,TDP-43_Q331K:WT,12.53,48,0.13,21.05,16.45
TDP43-Q331K-B6J-IC/2.1b,f,TDP-43_Q331K:WT,14.65,64,0.04,21.73,17.64
TDP43-Q331K-B6J-IC/2.2d,f,TDP-43_Q331K:WT,2.84,10,0.29,18.29,14.97
TDP43-Q331K-B6J-IC/2.2d,f,TDP-43_Q331K:WT,4.43,20,0.19,19.73,15.45
TDP43-Q331K-B6J-IC/2.2d,f,TDP-43_Q331K:WT,10.24,48,0.06,21.54,16.88
TDP43-Q331K-B6J-IC/2.2d,f,TDP-43_Q331K:WT,11.73,64,0.12,21.15,16.86
TDP43-Q331K-B6J-IC/2.2d,f,TDP-43_Q331K:WT,12.99,72,0.13,21.41,16.92
TDP43-Q331K-B6J-IC/2.3b,f,TDP-43_Q331K:WT,2.92,10,0.23,20.02,16.24
TDP43-Q331K-B6J-IC/2.3b,f,TDP-43_Q331K:WT,3.06,20,0.04,21.02,17.01
TDP43-Q331K-B6J-IC/2.3b,f,TDP-43_Q331K:WT,7.13,48,0.12,22.49,18.38
TDP43-Q331K-B6J-IC/2.3b,f,TDP-43_Q331K:WT,7.63,64,0.6,23.06,15.23
TDP43-Q331K-B6J-IC/2.3b,f,TDP-43_Q331K:WT,5.78,72,0,22.91,18.86
TDP43-Q331K-B6J-IC/2.4c,f,TDP-43_Q331K:WT,2.68,10,0.01,18.52,14.56
TDP43-Q331K-B6J-IC/2.4c,f,TDP-43_Q331K:WT,4.01,20,0,20.94,16.69
TDP43-Q331K-B6J-IC/2.4c,f,TDP-43_Q331K:WT,5.28,48,0.26,21.44,17.08
TDP43-Q331K-B6J-IC/2.4c,f,TDP-43_Q331K:WT,7.11,64,0.16,22.78,19.38
TDP43-Q331K-B6J-IC/2.4c,f,TDP-43_Q331K:WT,6.68,72,0.14,23.28,19.27
TDP43-Q331K-B6J-IC/3.2a,f,TDP-43_Q331K:WT,2.97,10,0.26,19.36,15.92
TDP43-Q331K-B6J-IC/3.2a,f,TDP-43_Q331K:WT,8.31,20,0.09,20.09,16.19
TDP43-Q331K-B6J-IC/3.2a,f,TDP-43_Q331K:WT,13.74,48,0.04,21.36,17.18
TDP43-Q331K-B6J-IC/3.2a,f,TDP-43_Q331K:WT,17.95,64,0.15,21.35,16.62
TDP43-Q331K-B6J-IC/3.2a,f,TDP-43_Q331K:WT,17.87,72,0.08,21.47,16.83
