stock,animal_name,animal_id,batch,birth date,sex,genotype,sex gen,date_of_experiment,experimenter,age weeks,parameter,data
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-09-29,nan,4,Weight,17.25
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-10-06,nan,5,Weight,18.13
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-10-11,nan,6,Weight,18.93
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-10-19,nan,6,Weight,20.94
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-11-01,nan,10,Weight,21.97
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-11-09,nan,10,Weight,23.04
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-11-16,nan,11,Weight,22.93
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-11-25,nan,12,Weight,24.12
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-12-10,nan,14,Weight,25.99
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-12-23,nan,16,Weight,27.39
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2021-12-31,nan,16,Weight,27.28
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2022-01-14,nan,19,Weight,28.42
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2022-01-19,nan,20,Weight,28.8
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2022-01-27,nan,20,Weight,29.78
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2022-02-10,nan,24,Weight,30.1
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2022-02-25,nan,25,Weight,32.1
TDP43-Q331K-B6J-IC,TDP43-Q331K-B6J-IC/1.1a,7383223,TDP43-Q331K-Behav-1,2021-08-30,Female,,,2022-03-16,nan,28,Weight,31.35
