stock,cage_id,animal_id,animal_name,batch,birth date,sex,genotype,date_of_experiment,experimenter,age_weeks,mean_experimental_age,parameter,data
TDP43-Q331K-B6J-IC,4562221,7413788,TDP43-Q331K-B6J-IC/1.2b,TDP43-Q331K-BEHAV-2,2021-11-02,Female,,2022-01-31,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,47.86
TDP43-Q331K-B6J-IC,4562224,7413791,TDP43-Q331K-B6J-IC/1.2e,TDP43-Q331K-BEHAV-2,2021-11-02,Female,,2022-01-31,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,43.75
TDP43-Q331K-B6J-IC,4554901,7384578,TDP43-Q331K-B6J-IC/2.2a,TDP43-Q331K-BEHAV-1,2021-09-03,Female,,2021-11-30,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,60
TDP43-Q331K-B6J-IC,4554908,7384581,TDP43-Q331K-B6J-IC/2.2d,TDP43-Q331K-BEHAV-1,2021-09-03,Female,,2021-11-30,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,60
TDP43-Q331K-B6J-IC,4562224,7413829,TDP43-Q331K-B6J-IC/2.4c,TDP43-Q331K-BEHAV-2,2021-11-02,Female,,2022-01-31,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,56.16
TDP43-Q331K-B6J-IC,4554908,7385527,TDP43-Q331K-B6J-IC/3.2a,TDP43-Q331K-BEHAV-1,2021-09-04,Female,,2021-11-30,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,60
TDP43-Q331K-B6J-IC,4562207,7413844,TDP43-Q331K-B6J-IC/3.3h,TDP43-Q331K-BEHAV-2,2021-11-02,Male,,2022-01-31,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,47.12
TDP43-Q331K-B6J-IC,4562208,7413845,TDP43-Q331K-B6J-IC/3.3i,TDP43-Q331K-BEHAV-2,2021-11-02,Male,,2022-01-31,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,55.68
TDP43-Q331K-B6J-IC,4554900,7383871,TDP43-Q331K-B6J-IC/4.1a,TDP43-Q331K-BEHAV-1,2021-09-01,Female,,2021-11-30,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,60
TDP43-Q331K-B6J-IC,4554898,7383878,TDP43-Q331K-B6J-IC/4.1h,TDP43-Q331K-BEHAV-1,2021-09-01,Male,,2021-11-30,1804.0,12,12.5,Arena Duration/time:1/phase:Habituation,60
